"Country","YrStart","YrFinal","NumData"
"Amer Samoa",2003,2003,58
"Australia",1988,2008,976
"Belgium",1992,2006,593
"Brazil",1980,1989,1225
"Brunei Darsm",1993,1997,91
"Bulgaria",2005,2006,6
"Canada",1952,2009,2332
"Chile",1968,2002,317
"Cyprus",2005,2006,34
"Denmark",1978,2006,1634
"Estonia",2006,2006,5
"Finland",1980,2006,324
"France",1995,2006,518
"Germany",1992,2006,329
"Greece",1982,2006,1294
"Iceland",1967,2006,841
"India",1982,1996,49
"Indonesia",1973,1986,922
"Ireland",1992,2006,845
"Italy",1950,2006,1152
"Japan",1963,2008,1793
"Korea Rep",1995,2003,320
"Latvia",2005,2006,16
"Lithuania",2005,2006,8
"Malaysia",1993,1996,76
"Malta",2003,2006,84
"Mauritania",1997,2000,57
"Mexico",1997,2003,172
"Morocco",1988,1994,7
"N Marianas",2003,2003,38
"Namibia",1980,2001,183
"Netherlands",1992,2006,235
"Norway",1950,2006,1071
"Philippines",1993,1997,305
"Poland",1995,2006,119
"Portugal",1992,2006,1900
"Slovenia",2003,2006,19
"South Africa",1997,1997,22
"Spain",1992,2006,1402
"Sweden",1970,2006,370
"Thailand",1994,2003,209
"Turkey",1995,2003,174
"UK",1950,2006,2787
"USA",1950,2009,17284
