Species,Landings,LandedValue,Year,TaxonKey,Country,FishingEntityName,ObservedPrice
Alewife,2765,1355.19568,2010,601583,Canada,Canada,490.1250199
Capelin,26527,3199.09265,2010,600252,Canada,Canada,120.5976043
Catfish,8,5.21157,2010,300032,Canada,Canada,651.44625
Clams / quahaugs,28641,75467.37676,2010,290004,Canada,Canada,2634.942103
Cockles,894,1064.60452,2010,490058,Canada,Canada,1190.832796
Cod,19276,21806.82484,2010,300044,Canada,Canada,1131.294088
"Crab, Other",11990,38053.58032,2010,490097,Canada,Canada,3173.776507
"Crab, Queen",84642,281426.227,2010,690313,Canada,Canada,3324.900487
Cusk,474,416.2772,2010,600051,Canada,Canada,878.2219409
Dogfish,1847,1045.26943,2010,500107,Canada,Canada,565.9282241
Eel,280,1242.83531,2010,300026,Canada,Canada,4438.697536
Flatfishes,18342,14321.81401,2010,300061,Canada,Canada,780.8207398
Greenland turbot,14714,57595.58542,2010,600516,Canada,Canada,3914.339093
Haddock,22401,30017.47111,2010,601381,Canada,Canada,1340.005853
Hake,58655,19997.20398,2010,500654,Canada,Canada,340.9292299
Halibut,6629,60050.69796,2010,100031,Canada,Canada,9058.78684
Herring,159411,50515.4682,2010,501941,Canada,Canada,316.888221
Lobster,67277,575992.3734,2010,100043,Canada,Canada,8561.505023
Lumpfish roe,149,1380.78043,2010,NA,Canada,Canada,9266.982752
Mackerel,38738,18458.4193,2010,500142,Canada,Canada,476.4938639
Marine plants,43431,3813.67816,2010,NA,Canada,Canada,87.8100472
Miscellaneous,2589,10809.58627,2010,NA,Canada,Canada,4175.197478
Mussel (3),50,92.66869,2010,590117,Canada,Canada,1853.3738
Other Groundfish,7072,26599.28416,2010,100239,Canada,Canada,3761.210995
Other Pelagic and finfish,14712,6324.36521,2010,100139,Canada,Canada,429.878005
Other Pelagic and finfish,14712,6324.36521,2010,100339,Canada,Canada,429.878005
Other shell fish,1925,18343.15316,2010,NA,Canada,Canada,9528.910732
Oyster (1),1934,4867.44583,2010,100053,Canada,Canada,2516.776541
Pollock,9036,6340.63848,2010,600318,Canada,Canada,701.7085525
Redfish spp.,31213,27723.43782,2010,501135,Canada,Canada,888.201641
Salmon,23568,70652,2010,502724,Canada,Canada,2997.793618
Scallop (2),60316,82810.16626,2010,490055,Canada,Canada,1372.938628
Sea cucumber,5681,5718.47299,2010,290012,Canada,Canada,1006.596196
Sea urchin,4357,6218.89153,2010,590158,Canada,Canada,1427.333378
Shark,135,228.73421,2010,100338,Canada,Canada,1694.327481
Shrimp,164784,255496.5314,2010,590094,Canada,Canada,1550.493564
Silversides,689,805.01021,2010,400218,Canada,Canada,1168.374761
Skate,1495,1063.98006,2010,400019,Canada,Canada,711.6923478
Smelt,620,468.42026,2010,400080,Canada,Canada,755.5165484
Squid,117,57.18064,2010,390002,Canada,Canada,488.7234188
Swordfish,1346,10457.36401,2010,600226,Canada,Canada,7769.215461
Total,46170,16004.04486,2010,NA,Canada,Canada,346.6329838
Tuna,5737,26720.04226,2010,501905,Canada,Canada,4657.493857
Whelks,7060,6565.51951,2010,590110,Canada,Canada,929.9602705
