"Species","LandedValue","Landings","ObservedPrice","FishingEntityName","Year"
"Miscellaneous",21,0.00498951607,4208.82500534766,"Guam (USA)",2001
"Bigeye Scad (Atulai)",23089,5.25214605223,4396.10775678957,"Guam (USA)",2001
"Black Jack",307,0.05624545388,5458.21891054495,"Guam (USA)",2001
"Jacks",6344,1.20292696524,5273.80313461864,"Guam (USA)",2001
"Mullet",166,0.03538020486,4691.8891695756,"Guam (USA)",2001
"Bottom Fish",8255,1.17888656963,7002.37004361741,"Guam (USA)",2001
"Ehu (Red Snapper)",2767,0.31479310478,8789.90028048352,"Guam (USA)",2001
"Gindai (Flower Snap)",4036,0.4581282937,8809.75930869471,"Guam (USA)",2001
"Grouper",4730,0.76158158923,6210.75938138458,"Guam (USA)",2001
"Kalikali (Pink Snap)",7149,1.02784031042,6955.36060176385,"Guam (USA)",2001
"Lehi (Silverjaw)",5803,0.66133767546,8774.63996885353,"Guam (USA)",2001
"Onaga (Red Snapper)",17743,1.82026618081,9747.47549949236,"Guam (USA)",2001
"Opakapaka (Pink Snp)",3954,0.44860285393,8814.03220100107,"Guam (USA)",2001
"Uku (Gray Snapper)",2147,0.37285292814,5758.30263881913,"Guam (USA)",2001
"Amberjack",1340,0.23768240188,5637.77540701786,"Guam (USA)",2001
"Reef Fish",534523,83.85516784953,6374.35966927107,"Guam (USA)",2001
"Wrasse",3929,0.72846934622,5393.5007977857,"Guam (USA)",2001
"Rabbitfish",46,0.00680388555,6760.84270700291,"Guam (USA)",2001
"Emperor (Mafute)",19478,3.21279475671,6062.63439621212,"Guam (USA)",2001
"Parrotfish",406,0.08391458845,4838.25288903029,"Guam (USA)",2001
"Snapper",945,0.17055073112,5540.8733448061,"Guam (USA)",2001
"Surgeonfish",49,0.00725747792,6751.65677941188,"Guam (USA)",2001
"Unicornfish",174,0.03129787353,5559.48313335778,"Guam (USA)",2001
"Troll Fish",878,0.20457015887,4291.92607978542,"Guam (USA)",2001
"Barracuda",20533,4.34405412749,4726.6906436693,"Guam (USA)",2001
"Dolphin (Mahimahi)",223995,53.52027092104,4185.23666164669,"Guam (USA)",2001
"Marlin",38864,15.376781343,2527.44700812775,"Guam (USA)",2001
"Spearfish",138,0.05034875307,2740.88217851469,"Guam (USA)",2001
"Sailfish",1450,0.56154735406,2582.1508898875,"Guam (USA)",2001
"Rainbow Runner",8021,1.69053876299,4744.64127980924,"Guam (USA)",2001
"Monchong",544,0.10251187562,5306.70224020236,"Guam (USA)",2001
"Wahoo",114182,23.66890345897,4824.13560889858,"Guam (USA)",2001
"Skipjack Tuna",165563,59.84108059699,2766.71140207197,"Guam (USA)",2001
"Dogtooth Tuna",5961,2.08471053252,2859.38978434303,"Guam (USA)",2001
"Yellowfin Tuna",63085,14.26049052043,4423.76087341614,"Guam (USA)",2001
"Kawakawa",4,0.00136077711,2939.4968291317,"Guam (USA)",2001
"Invertebrates",115,0.01859728717,6183.69759786852,"Guam (USA)",2001
"Crabs (Misc)",11,0.00136077711,8083.61628011218,"Guam (USA)",2001
"Lobster",4966,0.58785571152,8447.65118834955,"Guam (USA)",2001
"Octopus",9469,1.53268861823,6178.03243749217,"Guam (USA)",2001
