x,TaxonKey
Bigeye Scad,600387
Blackjack,601936
Blue - lined snapper,600156
Blue Marlin,600216
Bluebanded surgeonfish,509207
Blueline snapper,600156
Blueline Snapper,600156
Bluespine unicornfish,500480
Bottom fish,
Bottom Fish,
Bottomfish,
Bottomfishes (unknown),
Brassy trevally,606360
Brassy Trevally,606360
Emperor (mafute/misc),501144
Emperor (Mafute/misc.),501144
Emperor (misc),501144
Giant coral trout,604826
Giant trevally,601895
Giant Trevally,601895
Goatfish (misc),507028
Goatfish (Misc.),507028
Grouper (misc),507028
Grouper (Misc.),507028
Invertebrates,
Jacks (Misc.),500467
Jobfish (uku),600084
Jobfish (Uku),600084
Kalekale (yellowtail),600209
Kalikali (yellowtail),600209
Kalikali (Yellowtail),600209
Kawakawa (saba),600096
Miscellaneous,
Orange spotted trevally,601923
Orangespine unicornfish,601264
Orangespine Unicornfish,601264
Parrotfish (misc),500242
Parrotfish (Misc.),500242
Pelagic fishes (unknown),
Red Snapper,400323
Reef fish,
Reef Fish,
Saba (kawakawa),600096
Saba (Kawakawa),600096
Shrimp (Freshwater),
Shrimp (saltwater),590094
Shrimp (Saltwater),590094
Sickle pomfret,603561
Sickle Pomfret,603561
Silvermouth (deep lehi),600083
Silvermouth (Deep Lehi),600083
Slipper lobster,590244
Spiny Lobster,690801
Surgeonfish (misc),509207
Surgeonfish (Misc.),509207
Triggerfish (Misc.),400445
Troll fish (misc),
Troll Fish (Misc.),
Tunas (misc),501163
Tunas (Misc.),501163
Tunas (unknown),501163
Unicornfish (misc),500480
Unicornfish (Misc.),500480
