Species,Year,TaxonKey,Landings,LandedValue(000),LandedValue,Currency,ObservedPrice,FishingEntityID,FishingEntityName
Australian salmon,2009,605048,3572,4304,4304170,AUD,1204.866,7,Australia
Australian sardine,2009,601477,31658,20777,20776750,AUD,656.292,7,Australia
Barramundi,2009,600346,1745,13869,13869090,AUD,7946.323,7,Australia
Bream,2009,400330,979,5563,5562980,AUD,5682.436,7,Australia
Coral trout,2009,604826,1146,37066,37065600,AUD,32350.248,7,Australia
Dories,2009,400249,807,3565,3565040,AUD,4418.963,7,Australia
Flathead,2009,400273,3811,17310,17309670,AUD,4542.530,7,Australia
Gemfish,2009,400414,277,1053,1052820,AUD,3801.084,7,Australia
Ling,2009,600033,1046,7766,7766270,AUD,7423.721,7,Australia
Mullet,2009,400359,4152,11038,11037550,AUD,2658.140,7,Australia
Orange roughy,2009,600334,661,2019,2019430,AUD,3054.007,7,Australia
Sharks b,2009,200007,8522,36067,36066530,AUD,4232.294,7,Australia
Spanish mackerel,2009,600121,1320,8945,8944770,AUD,6776.385,7,Australia
Tuna,2009,501905,9931,73689,73689350,AUD,7420.329,7,Australia
Whiting,2009,600029,3351,20969,20968860,AUD,6256.894,7,Australia
Crabs,2009,490097,5314,57841,57841050,AUD,10884.355,7,Australia
Prawns,2009,100045,20201,233167,233167000,AUD,11542.516,7,Australia
Rock lobster,2009,690039,12045,410883,410882620,AUD,34112.860,7,Australia
Abalone,2009,590046,4961,165491,165491370,AUD,33355.899,7,Australia
Octopus,2009,390007,429,2777,2777350,AUD,6479.926,7,Australia
Pipi,2009,690688,672,5168,5168250,AUD,7692.935,7,Australia
Scallops,2009,590403,7599,26177,26177010,AUD,3445.016,7,Australia
Squid,2009,390002,1856,7968,7967980,AUD,4293.241,7,Australia
Australian salmon,2010,605048,2257,2781,2781430,AUD,1232.358,7,Australia
Australian sardine,2010,601477,40737,26276,26275860,AUD,645.019,7,Australia
Barramundi,2010,600346,1643,12960,12960370,AUD,7886.125,7,Australia
Bream,2010,400330,1125,5342,5341710,AUD,4748.898,7,Australia
Coral trout,2010,604826,959,30983,30983170,AUD,32314.815,7,Australia
Dories,2010,400249,830,2640,2640200,AUD,3179.892,7,Australia
Flathead,2010,400273,3864,17046,17046200,AUD,4411.392,7,Australia
Gemfish,2010,400414,230,940,939590,AUD,4092.420,7,Australia
Ling,2010,600033,871,4718,4717870,AUD,5416.087,7,Australia
Mullet,2010,400359,5527,14295,14295080,AUD,2586.320,7,Australia
Orange roughy,2010,600334,653,3507,3507370,AUD,5371.433,7,Australia
Sharks b,2010,200007,6891,29326,29326160,AUD,4255.982,7,Australia
Spanish mackerel,2010,600121,1254,8847,8847300,AUD,7057.944,7,Australia
Tuna,2010,501905,7603,58499,58499090,AUD,7693.991,7,Australia
Whiting,2010,600029,3506,20348,20347740,AUD,5803.127,7,Australia
Crabs,2010,490097,5185,56193,56193350,AUD,10837.096,7,Australia
Prawns,2010,100045,21653,246605,246605350,AUD,11389.083,7,Australia
Rock lobster,2010,690039,9628,368839,368838570,AUD,38309.414,7,Australia
Abalone,2010,590046,4525,158188,158188030,AUD,34959.087,7,Australia
Octopus,2010,390007,548,3813,3813170,AUD,6964.160,7,Australia
Pipi,2010,690688,415,4476,4475680,AUD,10793.314,7,Australia
Scallops,2010,590403,7539,25801,25801320,AUD,3422.302,7,Australia
Squid,2010,390002,1627,9906,9906120,AUD,6087.060,7,Australia
