Year,Index
1950,13.99535424
1951,15.09872242
1952,15.38908246
1953,15.50522648
1954,15.6213705
1955,15.56329849
1956,15.79558653
1957,16.31823461
1958,16.78281069
1959,16.8989547
1960,17.18931475
1961,17.36353078
1962,17.53774681
1963,17.77003484
1964,18.00232288
1965,18.29268293
1966,18.81533101
1967,19.3960511
1968,20.20905923
1969,21.31242741
1970,22.53193961
1971,23.51916376
1972,24.27409988
1973,25.78397213
1974,28.62950058
1975,31.242741
1976,33.04297329
1977,35.19163763
1978,37.86295006
1979,42.16027875
1980,47.85133566
1981,52.78745645
1982,56.03948897
1983,57.83972125
1984,60.33681765
1985,62.485482
1986,63.64692218
1987,65.96980256
1988,68.69918699
1989,72.00929152
1990,75.90011614
1991,79.09407666
1992,81.47502904
1993,83.91405343
1994,86.06271777
1995,88.50174216
1996,91.11498258
1997,93.20557491
1998,94.65737515
1999,96.74796748
2000,100
2001,102.8455285
2002,104.4715447
2003,106.8524971
2004,109.6980256
2005,113.4146341
2006,117.0731707
2007,120.4076655
2008,125.0307782
2009,124.5859466
2010,126.6295006
