"X","Year","FishingEntityID","TaxonKey","MatchCode","Price_N","Price2010USD_Mean","Price2010USD_CI"
44153,2011,27,600993,"GenTGN:Match",10,NA,NA
3110,2011,3,600265,"GenTGN:Match",20,NA,NA
25244,2011,16,600071,"GenTGN:Match",7,2434.24391340881,706.09690521879
21053,2011,218,600334,"FamTGN:Match",9,NA,NA
9990,2011,7,601858,"FamTGN:Match",13,12715.8979432703,1578.2593665789
27237,2011,222,600994,"Gen:Match",12,NA,NA
25274,2011,16,601024,"ISSTGN:Match",232,2521.48563984705,184.668575339067
17576,2011,7,690363,"ISSTGN:Match",31,3816.43811970194,674.793541179301
16606,2011,7,601825,"TaxonKeyCntry:Match",1,2404.06140344459,0
63934,2011,46,600029,"TaxonKeyCntry:Match",2,819.848685156991,943.934170492858
